Filename,DecadePublished,YearPublished,Author,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1923-Robinson & Richardson.txt,1920,1923,Robinson & Richardson,299926,91.43,55.35,31.59,37.22,24.82,24.86,83.3,52.48,9.14,3.41,0.49,1.11,0.11,0.93,0.77,5.72,10.32,16.47,7.35,3.91,6.67,1.06,11.71,6.01,3.37,1.71,1.67,2.79,3.77,2.14,1.49,0.36,0.29,0.35,5.62,0.08,0.09,0.26,0.95,14.6,3.68,2.43,1.1,3.76,1.96,3.92,3.35,1.32,0.58,0.73,2.22,1.28,0.62,0.07,0.33,5.76,1.71,1.44,1.84,0.79,0.52,2.48,7.64,1.09,12.05,1.58,6.7,3.78,2.29,0.48,0.1,0.26,0.1,0.06,0.2,0.02,0.06,0.04,0.08,0,12.21,4.09,5.89,0,0,0.08,0.02,0.54,0.76,0.3,0.47,0.06
1925-Carr.txt,1920,1925,Carr,113632,94.92,57.01,18.19,35.53,21.15,30.11,80.31,49.23,7.16,2.12,0.08,0.8,0.01,0.5,0.73,5.04,10.57,16.3,7.4,2.9,6.2,0.76,9.85,5.29,2.91,0.99,1.33,3.21,3.9,2.14,1.58,0.35,0.31,0.23,4.64,0.06,0.14,0.06,0.58,14.99,4.02,3.28,0.93,3.9,2.16,2.82,2.59,0.75,0.33,0.3,1.7,0.84,0.62,0.16,0.27,6.24,1.49,2.15,1.77,0.78,0.78,1.62,6.92,1.41,10.07,0.92,5.63,3.37,2.59,0.29,0.07,0.24,0.11,0.04,0.13,0.01,0.04,0.01,0.08,0,9.72,4.85,4.05,0.04,0.09,0.05,0.02,0.22,0,0.13,0.24,0.03
1925-Gault & Howard.txt,1920,1925,Gault & Howard,136687,91.88,61.75,32.49,40.36,20.63,26.12,82.31,52.73,9.43,3.44,0.12,1.72,0.04,0.8,0.76,5.99,10.05,16.96,7.62,3.6,6.37,0.93,11.48,5.36,2.94,1.53,1.36,2.45,3.36,2.03,1.22,0.33,0.2,0.26,5.77,0.03,0.09,0.08,0.92,14.17,4.15,2.26,1.09,3.33,1.98,3.49,3.25,1.21,0.56,0.59,1.99,1.23,0.56,0.06,0.26,5.86,2.34,1.18,1.64,0.65,0.46,2.03,7.9,1.13,12.42,1.66,7.35,3.45,2.45,0.44,0.09,0.2,0.13,0.07,0.22,0.01,0.07,0.06,0.09,0,12.61,4.87,5.83,0.22,0.42,0.12,0.02,0.54,0.02,0.07,0.36,0.14
1928-Dashiell.txt,1920,1928,Dashiell,189708,95.91,56.52,24.6,39.04,24.73,27.1,80.29,49.68,6.81,2.4,0.07,0.43,0.06,1.24,0.61,4.4,10.68,17.17,6.68,3.24,6.5,0.74,10.66,5.45,2.99,1.14,1.92,2.71,3.51,2.08,1.33,0.33,0.26,0.27,5.38,0.1,0.11,0.13,1.54,12.7,2.76,2.91,0.83,3.28,1.57,3.4,2.89,0.99,0.64,0.49,2.62,1.62,0.76,0.18,0.36,4.76,1,1.28,1.76,0.77,0.43,2.6,6.44,1.02,12.73,1.9,7.33,3.56,2.45,0.5,0.11,0.27,0.07,0.05,0.32,0.02,0.15,0.03,0.13,0,12.3,3.95,5.22,0.24,0.5,0.17,0.04,0.84,0.01,0.13,1.13,0.07
1933-Kantor.txt,1930,1933,Kantor,147819,90.82,61.72,25.4,41.59,19.14,29.89,81.25,50.5,9.02,3.27,0.3,1.27,0.1,0.8,0.8,5.74,10.23,15.34,7.11,4.08,6.23,1,10.77,5.59,3.21,1.76,1.38,2.65,3,1.89,1.01,0.23,0.2,0.2,6.9,0.1,0.18,0.1,0.97,15.01,3.22,3.35,1.03,3.24,2.31,3.98,2.33,0.75,0.47,0.36,2.1,0.96,0.67,0.07,0.3,5.73,2.12,1.26,1.73,0.68,0.38,1.77,7.74,0.88,11.36,2.07,5.89,3.39,3.41,0.41,0.07,0.24,0.1,0.09,0.22,0.01,0.07,0.04,0.1,0,11.13,5.15,4.14,0,0,0.16,0,0.31,0.31,0.3,0.72,0.03
1935-Boring et al.txt,1930,1935,Boring et al,155130,95.86,50.84,33.43,34.78,20.37,27,80.88,49.98,6.66,1.91,0.08,0.75,0.02,0.52,0.54,4.75,11.62,16.44,7.01,3.64,6.15,0.79,11,6.1,3.32,1.57,2.4,2.69,3.19,1.8,1.29,0.34,0.18,0.25,4.03,0.02,0.06,0.06,0.57,14.13,3.35,3.13,0.96,3.47,1.69,3.7,4.84,2.03,0.61,0.63,2.14,1.37,0.53,0.07,0.3,4.77,1.33,1.17,1.62,0.59,0.47,2.08,7.57,0.9,12.76,1.91,7.27,3.6,2.08,0.36,0.08,0.17,0.04,0.04,0.27,0.01,0.17,0.03,0.08,0,12.32,5.05,5.03,0.1,0.22,0.08,0,0.66,0.01,0.04,1.01,0.12
1937-Ruch.txt,1930,1937,Ruch,200208,94.57,68.41,22.24,43.49,18.19,25,84.28,49.29,8.08,3.43,0.21,0.71,0.69,1.17,0.66,4.65,10.21,16.51,7.26,3.18,5.2,1.01,12.03,6.02,3.27,1.75,2.69,2.71,5.1,2.92,1.95,0.38,0.37,0.45,7.81,0.32,0.14,0.32,1.37,12.47,3.18,2.6,1.16,2.57,1.58,3.17,2.56,1.18,0.45,0.48,2.06,0.77,0.79,0.13,0.42,7.82,1.77,2.1,3.11,1.13,0.69,3.19,7.43,0.88,12.19,1.74,6.61,3.92,4.37,0.58,0.19,0.56,0.1,0.09,0.27,0.02,0.08,0.04,0.12,0,11.11,5.55,3.39,0.12,0.3,0.24,0.01,0.76,0.01,0.08,0.56,0.09
1938-Stroud.txt,1930,1938,Stroud,56916,88.31,57.24,29.11,43.05,22.23,29.44,82.54,53.22,10.13,3.47,0.14,2.17,0,0.25,0.91,6.66,9.8,16.14,7.98,3.83,6.53,1.3,10.79,6.19,3.19,2.1,1.06,2.67,3.4,2.13,1.18,0.26,0.18,0.24,5.24,0.01,0.03,0.02,0.27,16.64,4.34,2.91,1.04,3.69,2.59,4.14,3.62,1.58,0.33,0.72,1.88,0.97,0.7,0.07,0.21,6.15,2.75,1.34,1.53,0.43,0.51,1.31,8.32,1.01,10.37,0.89,5.96,3.38,1.92,0.39,0.03,0.18,0.16,0.02,0.12,0,0.02,0.03,0.08,0,11.92,4.52,6.08,0,0,0.02,0,0.54,0.07,0.4,0.28,0.01
1938-Woodworth.txt,1930,1938,Woodworth,338312,96.81,47.15,32.01,40.6,20.58,24.99,77.3,46.05,5.25,1.83,0.16,0.4,0.1,0.77,0.42,3.41,11.23,15.63,5.99,3.12,6.07,0.94,10.45,6.18,3.52,1.22,5.36,3.06,3.22,1.97,1.15,0.27,0.17,0.23,3.58,0.02,0.05,0.1,0.78,13.7,3.31,2.89,1.08,3.24,1.57,3.68,4.28,2.12,0.52,0.67,1.75,1.19,0.32,0.03,0.26,4.91,0.85,1.5,1.75,0.91,0.51,3.3,5.76,0.67,12.9,1.81,7.21,4.01,2.34,0.32,0.08,0.17,0.02,0.02,0.51,0.01,0.37,0.1,0.12,0,13.73,4.87,4.79,0.27,0.47,0.16,0.01,0.79,0.01,0.08,1.83,0.45
1939_Guilford.txt,1930,1939,Guilford,183115,91.66,62.81,28.61,38.66,16.11,24.02,82.83,48.84,8.03,3.31,0.1,0.9,0.32,1.11,0.89,4.72,9.35,15.63,7.25,3.78,6.15,0.91,11.76,6.57,3.62,1.31,3,3.29,4.45,2.51,1.79,0.41,0.29,0.48,6.86,0.23,0.08,0.28,1.19,14.51,3.47,2.94,1.19,3.75,1.68,3.78,3.32,1.37,0.58,0.52,2.15,1.09,0.62,0.12,0.4,6.81,1.65,1.78,2.69,0.94,0.59,2.19,8.04,0.99,12.56,1.7,6.95,3.93,2.94,0.48,0.13,0.33,0.09,0.05,0.24,0.02,0.11,0.04,0.1,0,14.1,6.27,5.79,0.19,0.24,0.25,0.01,0.51,0.01,0.11,0.45,0.26
