underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
IBM,2013-05-02,IBM,2013-06-07,175.000,P,0.0000,0.0000,0.0000,0.0000,0,252,0.1200,1579,0.2700,202.1200,202.1300,258,0.1100,2295,0.2700,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,180.000,C,0.0000,0.0000,0.0000,0.0000,0,55,21.8000,168,22.3000,202.1200,202.1300,241,21.9500,90,22.7000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,180.000,P,0.0000,0.0000,0.0000,0.0000,0,223,0.2300,2836,0.3700,202.1200,202.1300,157,0.2300,624,0.3000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,185.000,C,0.0000,0.0000,0.0000,0.0000,0,326,17.0000,210,17.3000,202.1200,202.1300,284,16.7000,190,17.6000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,185.000,P,0.4500,0.4500,0.4400,0.4500,100,199,0.4000,347,0.4500,202.1200,202.1300,191,0.3900,275,0.4400,202.3200,202.3300,0.4454,0,
IBM,2013-05-02,IBM,2013-06-07,190.000,C,0.0000,0.0000,0.0000,0.0000,0,329,12.1500,348,12.4500,202.1200,202.1300,218,12.3500,198,12.6500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,190.000,P,0.8500,0.8600,0.8000,0.8000,112,308,0.7500,5,0.7900,202.1200,202.1300,232,0.7200,99,0.7700,202.3200,202.3300,0.8054,0,
IBM,2013-05-02,IBM,2013-06-07,195.000,C,7.4000,7.4000,7.4000,7.4000,2,399,7.7000,182,7.9000,202.1200,202.1300,172,7.9000,236,8.1500,202.3200,202.3300,7.4000,0,
IBM,2013-05-02,IBM,2013-06-07,195.000,P,0.0000,0.0000,0.0000,0.0000,0,112,1.5300,484,1.5900,202.1200,202.1300,355,1.4500,99,1.5300,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,200.000,C,3.6500,4.1300,3.6500,4.0900,14,627,4.2500,513,4.4000,202.1200,202.1300,112,4.4000,413,4.5500,202.3200,202.3300,3.9943,0,
IBM,2013-05-02,IBM,2013-06-07,200.000,P,3.5000,3.5000,3.4700,3.4700,6,1721,3.0500,1144,3.2000,202.1200,202.1300,300,2.9600,278,3.1000,202.3200,202.3300,3.4950,0,
IBM,2013-05-02,IBM,2013-06-07,205.000,C,1.7500,1.9500,1.7500,1.9500,12,5,1.9700,170,2.0200,202.1200,202.1300,75,2.0200,155,2.1100,202.3200,202.3300,1.7833,0,
IBM,2013-05-02,IBM,2013-06-07,205.000,P,0.0000,0.0000,0.0000,0.0000,0,317,5.7000,445,5.9000,202.1200,202.1300,222,5.5500,92,5.7000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,210.000,C,0.7500,0.7600,0.7300,0.7300,152,5,0.7500,129,0.7800,202.1200,202.1300,79,0.7700,200,0.8200,202.3200,202.3300,0.7376,0,
IBM,2013-05-02,IBM,2013-06-07,210.000,P,10.2000,10.2000,10.2000,10.2000,1,148,9.5000,177,9.6500,202.1200,202.1300,209,9.2500,12,9.4500,202.3200,202.3300,10.2000,0,
IBM,2013-05-02,IBM,2013-06-07,215.000,C,0.2800,0.2900,0.2700,0.2800,100,1639,0.1700,1934,0.3600,202.1200,202.1300,983,0.1700,511,0.3600,202.3200,202.3300,0.2824,0,
IBM,2013-05-02,IBM,2013-06-07,215.000,P,14.2500,14.2500,14.1500,14.1500,5,41,14.0000,233,14.2500,202.1200,202.1300,225,13.7000,214,14.0500,202.3200,202.3300,14.2300,0,
IBM,2013-05-02,IBM,2013-06-07,220.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1886,0.2200,202.1200,202.1300,0,0.0000,1162,0.2200,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,220.000,P,0.0000,0.0000,0.0000,0.0000,0,257,18.8000,304,19.1000,202.1200,202.1300,37,18.5000,55,19.2500,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,225.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,1402,0.1100,202.1200,202.1300,0,0.0000,862,0.1100,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,225.000,P,0.0000,0.0000,0.0000,0.0000,0,55,23.6500,56,24.5500,202.1200,202.1300,47,23.4000,81,24.4000,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,230.000,C,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,466,0.0600,202.1200,202.1300,0,0.0000,439,0.0600,202.3200,202.3300,0.0000,0,
IBM,2013-05-02,IBM,2013-06-07,230.000,P,0.0000,0.0000,0.0000,0.0000,0,28,28.6000,37,29.5500,202.1200,202.1300,25,28.3500,38,29.3500,202.3200,202.3300,0.0000,0,
